frame;[[1, 2], [1, 3], [2, 3]]
126;['DR', 'DR', 'DR']
127;['DR', 'DR', 'DR']
128;['DR', 'DR', 'DR']
129;['DR', 'DR', 'DR']
130;['DR', 'DR', 'DR']
131;['DR', 'DR', 'DR']
132;['DR', 'DR', 'DR']
133;['DR', 'DR', 'DR']
134;['DR', 'DR', 'DR']
135;['DR', 'DR', 'DR']
136;['DR', 'DR', 'DR']
137;['DR', 'DR', 'DR']
138;['DR', 'DR', 'DR']
139;['DR', 'DR', 'DR']
140;['DR', 'DR', 'DR']
141;['PO', 'DR', 'DR']
142;['PO', 'DR', 'DR']
143;['PO', 'DR', 'DR']
144;['PO', 'DR', 'DR']
145;['PO', 'DR', 'DR']
146;['PO', 'DR', 'DR']
147;['PO', 'DR', 'DR']
148;['PO', 'DR', 'DR']
149;['PO', 'DR', 'DR']
150;['PP', 'DR', 'DR']
151;['PP', 'DR', 'DR']
152;['PP', 'DR', 'DR']
153;['PP', 'DR', 'DR']
154;['PP', 'DR', 'DR']
155;['PP', 'DR', 'DR']
156;['PP', 'DR', 'DR']
157;['PP', 'DR', 'DR']
158;['PP', 'DR', 'DR']
159;['PP', 'DR', 'DR']
160;['PP', 'DR', 'DR']
161;['PP', 'DR', 'DR']
162;['PP', 'DR', 'DR']
163;['PP', 'DR', 'DR']
164;['PP', 'DR', 'DR']
165;['PP', 'DR', 'DR']
166;['PP', 'DR', 'DR']
167;['PP', 'DR', 'DR']
168;['PP', 'DR', 'DR']
169;['PP', 'DR', 'DR']
170;['PP', 'DR', 'DR']
171;['PP', 'DR', 'DR']
172;['PP', 'DR', 'DR']
173;['PP', 'DR', 'DR']
174;['PP', 'DR', 'DR']
175;['PP', 'DR', 'DR']
176;['PP', 'DR', 'DR']
177;['PP', 'DR', 'DR']
178;['PP', 'DR', 'DR']
179;['PP', 'DR', 'DR']
180;['PP', 'DR', 'DR']
181;['PP', 'DR', 'DR']
182;['PP', 'DR', 'DR']
183;['PP', 'DR', 'DR']
184;['PP', 'DR', 'DR']
185;['PP', 'DR', 'DR']
186;['PP', 'DR', 'DR']
187;['PP', 'DR', 'DR']
188;['PP', 'DR', 'DR']
189;['PP', 'DR', 'DR']
190;['PP', 'DR', 'DR']
191;['PP', 'DR', 'DR']
192;['PP', 'DR', 'DR']
193;['PP', 'DR', 'DR']
194;['PP', 'DR', 'DR']
195;['PP', 'DR', 'DR']
196;['PP', 'DR', 'DR']
197;['PP', 'DR', 'DR']
198;['PP', 'DR', 'DR']
199;['PP', 'DR', 'DR']
200;['PP', 'DR', 'DR']
201;['PP', 'DR', 'DR']
202;['PP', 'DR', 'DR']
203;['PP', 'DR', 'DR']
204;['PP', 'DR', 'DR']
205;['PP', 'DR', 'DR']
206;['PP', 'DR', 'DR']
207;['PP', 'DR', 'DR']
208;['PP', 'DR', 'DR']
209;['PP', 'DR', 'DR']
210;['PP', 'DR', 'DR']
211;['PP', 'DR', 'DR']
212;['PP', 'DR', 'DR']
213;['PP', 'DR', 'DR']
214;['PP', 'DR', 'DR']
215;['PP', 'DR', 'DR']
216;['PP', 'DR', 'DR']
217;['PP', 'DR', 'DR']
218;['PP', 'DR', 'DR']
219;['PP', 'DR', 'DR']
220;['PP', 'DR', 'DR']
221;['PP', 'DR', 'DR']
222;['PP', 'DR', 'DR']
223;['PP', 'DR', 'DR']
224;['PP', 'DR', 'DR']
225;['PP', 'DR', 'DR']
226;['PP', 'DR', 'DR']
227;['PP', 'DR', 'DR']
228;['PP', 'DR', 'DR']
229;['PP', 'DR', 'DR']
230;['PP', 'DR', 'DR']
231;['PP', 'DR', 'DR']
232;['PP', 'DR', 'DR']
233;['PP', 'DR', 'DR']
234;['PP', 'DR', 'DR']
235;['PP', 'DR', 'DR']
236;['PP', 'DR', 'DR']
237;['PP', 'DR', 'DR']
238;['PP', 'DR', 'DR']
239;['PP', 'DR', 'DR']
240;['PP', 'DR', 'DR']
241;['PP', 'DR', 'DR']
242;['PP', 'DR', 'DR']
243;['PP', 'DR', 'DR']
244;['PP', 'DR', 'DR']
245;['PP', 'DR', 'DR']
246;['PP', 'DR', 'DR']
247;['PP', 'DR', 'DR']
248;['PP', 'DR', 'DR']
249;['PP', 'DR', 'DR']
250;['PP', 'DR', 'DR']
251;['PP', 'DR', 'DR']
252;['PP', 'DR', 'DR']
253;['PP', 'DR', 'DR']
254;['PP', 'DR', 'DR']
255;['PP', 'DR', 'DR']
256;['PP', 'DR', 'DR']
257;['PP', 'DR', 'DR']
258;['PP', 'DR', 'DR']
259;['PP', 'DR', 'DR']
260;['PP', 'DR', 'DR']
261;['PP', 'DR', 'DR']
262;['PP', 'DR', 'R']
263;['PP', 'DR', 'DR']
264;['PP', 'DR', 'DR']
265;['PP', 'DR', 'DR']
266;['PP', 'DR', 'DR']
267;['PP', 'DR', 'DR']
268;['PP', 'DR', 'DR']
269;['PP', 'DR', 'DR']
270;['PP', 'DR', 'DR']
271;['PP', 'DR', 'DR']
272;['PP', 'DR', 'DR']
273;['PP', 'DR', 'DR']
274;['PP', 'DR', 'DR']
275;['PP', 'DR', 'DR']
276;['PP', 'DR', 'DR']
277;['PP', 'DR', 'DR']
278;['PP', 'DR', 'DR']
279;['PP', 'DR', 'DR']
280;['PP', 'DR', 'DR']
281;['PP', 'DR', 'DR']
282;['PP', 'DR', 'DR']
283;['PP', 'DR', 'DR']
284;['PP', 'DR', 'DR']
285;['PP', 'DR', 'DR']
286;['PP', 'DR', 'DR']
287;['PP', 'DR', 'DR']
288;['PP', 'DR', 'DR']
289;['PP', 'DR', 'DR']
290;['PP', 'DR', 'DR']
291;['PP', 'DR', 'DR']
292;['PP', 'DR', 'DR']
293;['PP', 'DR', 'DR']
294;['PP', 'DR', 'DR']
295;['PP', 'DR', 'DR']
296;['PP', 'DR', 'DR']
297;['PP', 'DR', 'DR']
298;['PP', 'DR', 'DR']
299;['PP', 'DR', 'DR']
300;['PP', 'DR', 'DR']
301;['PP', 'DR', 'DR']
302;['PP', 'DR', 'DR']
303;['PP', 'DR', 'DR']
304;['PP', 'DR', 'DR']
305;['PP', 'DR', 'DR']
306;['PP', 'DR', 'DR']
307;['PP', 'DR', 'DR']
308;['PP', 'PO', 'DR']
309;['PP', 'PO', 'DR']
310;['PP', 'PO', 'PO']
311;['PP', 'PO', 'PO']
312;['PP', 'PO', 'PO']
313;['PP', 'PO', 'PO']
314;['PP', 'PO', 'PO']
315;['PP', 'PO', 'PO']
316;['PP', 'PO', 'PO']
317;['PP', 'PO', 'PO']
318;['PP', 'PO', 'PO']
319;['PP', 'PO', 'PO']
320;['PP', 'PO', 'PO']
321;['PP', 'PP', 'PO']
322;['PP', 'PP', 'PO']
323;['PP', 'PP', 'PP']
324;['PP', 'PP', 'PP']
325;['PP', 'PP', 'PP']
326;['0', '0', 'PP']
327;['0', '0', 'PP']
328;['0', '0', 'PP']
329;['0', '0', 'PP']
330;['0', '0', 'PP']
331;['0', '0', 'PP']
332;['0', '0', 'PP']
333;['0', '0', 'PP']
334;['0', '0', 'PP']
335;['0', '0', 'PP']
336;['0', '0', 'PP']
337;['0', '0', 'PP']
338;['0', '0', 'PP']
339;['0', '0', 'PP']
340;['0', '0', 'PP']
341;['0', '0', 'PP']
342;['0', '0', 'PP']
343;['0', '0', 'PP']
344;['0', '0', 'PP']
345;['0', '0', 'PP']
346;['0', '0', 'PP']
347;['0', '0', 'PP']
348;['0', '0', 'PP']
349;['0', '0', 'PP']
350;['0', '0', 'PP']
351;['0', '0', 'PP']
352;['0', '0', 'PP']
353;['0', '0', 'PP']
354;['0', '0', 'PP']
355;['0', '0', 'PP']
356;['0', '0', 'PP']
357;['0', '0', 'PP']
358;['0', '0', 'PP']
359;['0', '0', 'PP']
360;['0', '0', 'PP']
361;['0', '0', 'PP']
362;['0', '0', 'PP']
363;['0', '0', 'PP']
364;['0', '0', 'PP']
365;['0', '0', 'PP']
366;['0', '0', 'PP']
367;['0', '0', 'PP']
368;['0', '0', 'PP']
369;['0', '0', 'PP']
370;['0', '0', 'PP']
371;['0', '0', 'PP']
372;['0', '0', 'PP']
373;['0', '0', 'PP']
374;['0', '0', 'PP']
375;['0', '0', 'PP']
376;['0', '0', 'PP']
377;['0', '0', 'PP']
378;['0', '0', 'PP']
379;['0', '0', 'PP']
380;['0', '0', 'PP']
381;['0', '0', 'PP']
382;['0', '0', 'PP']
383;['0', '0', 'PP']
384;['0', '0', 'PP']
385;['0', '0', 'PP']
386;['0', '0', 'PP']
387;['0', '0', 'PP']
388;['0', '0', 'PP']
389;['0', '0', 'PP']
390;['0', '0', 'PP']
391;['0', '0', 'PP']
392;['0', '0', 'PP']
393;['0', '0', 'PP']
394;['0', '0', 'PP']
395;['0', '0', 'PP']
396;['0', '0', 'PP']
397;['0', '0', 'PP']
398;['0', '0', 'PP']
399;['0', '0', 'PP']
400;['0', '0', 'PP']
401;['0', '0', 'PP']
402;['0', '0', 'PP']
403;['0', '0', 'PP']
404;['0', '0', 'PP']
405;['0', '0', 'PP']
406;['0', '0', 'PP']
407;['0', '0', 'PP']
408;['0', '0', 'PP']
409;['0', '0', 'PP']
410;['0', '0', 'PP']
411;['0', '0', 'PP']
